Name,Team,Age,GP,MPG,FTA,PPG,RPG,SPG,BPG
"Marcus,Thornton",Was,28,14,16,21,8.4,2.5,0.93,0.07
"Mario,Chalmers",Mem,29,55,22.8,249,10.8,2.6,1.45,0.22
"Mario,Chalmers",Mia,29,6,20,13,5.5,2.3,1.33,0.17
"Mario,Hezonja",Orl,20,79,17.9,54,6.1,2.2,0.49,0.22
"Markel,Brown",Bro,24,62,15.8,94,5.9,2,0.61,0.24
"Markieff,Morris",Pho,26,37,24.8,92,11.6,5.2,0.89,0.46
"Markieff,Morris",Was,26,27,26.4,55,12.4,5.9,0.93,0.63
"Marreese,Speights",Gol,28,72,11.6,114,7.1,3.3,0.26,0.47
"Marvin,Williams",Cha,29,81,28.9,144,11.7,6.4,0.72,0.95
"Mason,Plumlee",Por,25,82,25.4,335,9.1,7.7,0.83,1.02
"Matt,Barnes",Mem,35,76,28.8,138,10,5.5,1.03,0.75
"Matt,Bonner",San,35,30,6.9,4,2.5,0.9,0.2,0.03
"Matthew,Dellavedova",Cle,25,76,24.6,66,7.5,2.1,0.58,0.12
"Maurice,Harkless",Por,22,78,18.7,111,6.4,3.6,0.63,0.45
"Metta,World,Peace",Lal,36,35,16.9,57,5,2.5,0.63,0.31
"Meyers,Leonard",Por,23,61,21.8,46,8.4,5.1,0.13,0.3
"Michael,Beasley",Hou,27,20,18.1,49,12.8,4.9,0.55,0.45
"Michael,Carter-Williams",Mil,24,54,30.5,160,11.5,5.1,1.48,0.76
"Michael,Kidd-Gilchrist",Cha,22,7,29.3,29,12.7,6.4,0.43,0.43
"Mike,Conley",Mem,28,56,31.4,229,15.3,2.9,1.2,0.29
"Mike,Dunleavy",Chi,35,31,22.7,37,7.2,2.7,0.45,0.32
"Mike,Miller",Den,35,47,7.9,0,1.3,1.1,0.28,0.09
"Mike,Muscala",Atl,24,60,9.4,39,3.3,2,0.22,0.45
"Mike,Scott",Atl,27,75,15.3,63,6.2,2.7,0.33,0.23
"Miles,Plumlee",Mil,27,61,14.3,59,5.1,3.8,0.34,0.82
"Mirza,Teletovic",Pho,30,79,21.3,155,12.2,3.8,0.41,0.27
